loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
11;stencil;one_iteration() [clone ._omp_fn.0];11;;Innermost;96.48;3.98;;;;;;;
8;stencil;one_iteration() [clone ._omp_fn.0];11;;InBetween;0.12;0;;;;;;;
