loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
11;stencil;one_iteration() [clone ._omp_fn.0];11;;Innermost;7.14;3.96;;;;;;;
14;stencil;init();14;;Innermost;1.35;0.74;;;;;;;
20;stencil;init();14;;Innermost;0.23;0.13;;;;;;;
8;stencil;one_iteration() [clone ._omp_fn.0];11;;InBetween;0.05;0.03;;;;;;;
15;stencil;init();14;;InBetween;0.04;0.02;;;;;;;
17;stencil;init();14;;Outermost;0.01;0;;;;;;;
