block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
93;stencil;;95.95;3.91;;;;;;;
92;stencil;;0.49;0.02;;;;;;;
94;stencil;;0.12;0;;;;;;;
