block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
93;stencil;;96.21;3.93;;;;;;;
92;stencil;;0.37;0.01;;;;;;;
90;stencil;;0.12;0;;;;;;;
111;stencil;;0.12;0;;;;;;;
