function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
11;stencil;one_iteration() [clone ._omp_fn.0];;96.56;3.93;;;;;;;"100,0,0,0,0,0,0,0,0,0";_Z13one_iterationv._omp_fn.0;
986;libc-2.26.so;__GI___memcpy_sve;;3.44;0.14;;;;;;;"0,0,100,0,0,0,0,0,0,0";__GI___memcpy_sve;
