name;time_p;time_s;cpi_ratio;
/usr/lib64/libm-2.26.so;88.89;0.08;;
/userdir/home/cwyeumobarkwende/Stencil/source/OV1_Stencil_small/binaries/stencil;11.11;0.01;;
